date,Volume,Open,High,Low,Close
2003-06-30,9930000,37.1,37.4,36.92,37.08
2003-07-01,14290000,37.09,38.1,37.09,38.05
2003-07-02,16232000,38.17,38.82,38.1,38.69
2003-07-03,16839000,40.6,40.6,38.81,39.0
2003-07-04,12491000,39.1,39.26,38.75,39.26
2003-07-07,19461000,39.6,41.0,39.6,41.0
2003-07-08,13945000,42.0,42.0,40.7,41.19
2003-07-09,8849000,41.3,41.3,40.81,41.22
2003-07-10,8603000,41.2,41.2,40.05,40.05
2003-07-11,7019000,39.6,39.97,39.3,39.91
2003-07-14,10771000,39.95,41.0,39.92,40.66
2003-07-15,9432000,40.7,40.86,40.19,40.19
2003-07-16,6798000,40.5,40.98,40.24,40.85
2003-07-17,9924000,40.5,40.65,39.8,39.8
2003-07-18,7220000,39.78,39.98,39.55,39.92
2003-07-21,6715000,40.0,40.25,39.4,39.4
2003-07-22,9169000,39.41,39.98,39.41,39.98
2003-07-23,8148000,40.3,40.5,40.0,40.05
2003-07-24,10984000,40.2,41.23,40.2,41.23
2003-07-25,8433000,41.0,41.34,40.85,41.23
2003-07-28,6839000,41.9,41.94,41.57,41.58
2003-07-29,5680000,41.54,41.54,40.83,41.02
2003-07-30,9300000,41.0,41.02,40.55,40.6
2003-07-31,5120000,40.66,41.0,40.44,40.87
2003-08-01,3703000,41.28,41.6,41.05,41.6
2003-08-04,3708000,41.47,41.55,41.21,41.4
2003-08-05,4929000,41.5,41.61,40.5,40.5
2003-08-06,4646000,40.2,40.3,40.06,40.23
2003-08-07,5574000,40.35,40.77,39.97,40.7
2003-08-08,4009000,40.7,40.7,40.18,40.18
2003-08-11,2619000,39.9,40.18,39.68,40.1
2003-08-12,4255000,40.34,40.65,40.34,40.55
2003-08-13,12452000,41.0,42.45,41.0,42.45
2003-08-14,11489000,42.29,42.55,42.0,42.3
2003-08-15,8705000,42.66,43.5,42.66,42.72
2003-08-18,4295000,43.0,43.1,42.52,42.8
2003-08-19,6286000,43.5,43.6,42.8,43.0
2003-08-20,4201000,42.8,43.28,42.8,43.19
2003-08-21,3518000,43.19,44.0,42.8,44.0
2003-08-22,6243000,44.0,44.59,43.95,44.04
2003-08-25,4937000,44.1,44.39,43.79,44.35
2003-08-26,8544000,44.25,44.25,43.4,43.46
2003-08-27,6352000,43.28,43.97,43.28,43.62
2003-08-28,4754000,43.63,43.95,43.49,43.56
2003-08-29,7666000,43.6,44.92,43.6,44.92
2003-09-01,6283000,46.4,46.4,44.79,45.15
2003-09-02,2163000,45.23,45.52,44.9,45.52
2003-09-03,4321000,45.9,45.9,45.0,45.0
2003-09-04,3077000,45.1,45.1,44.51,44.51
2003-09-05,3894000,45.0,45.25,44.7,45.03
2003-09-08,5233000,44.8,46.0,44.59,45.95
2003-09-09,7878000,46.5,46.59,45.7,45.7
2003-09-10,4903000,45.5,45.6,44.8,45.1
2003-09-12,2730000,45.04,45.47,44.8,45.47
2003-09-15,2946000,45.45,45.45,44.92,45.0
2003-09-16,2267000,44.6,45.49,44.6,45.45
2003-09-17,5547000,45.83,45.99,45.7,45.79
2003-09-18,1464000,45.8,45.8,45.4,45.68
2003-09-19,6913000,45.68,46.0,45.6,45.8
2003-09-22,5920000,45.5,45.5,45.0,45.0
2003-09-23,6887000,44.7,45.0,44.7,44.8
2003-09-24,3625000,44.98,45.0,44.71,44.85
2003-09-25,6414000,44.7,44.9,44.2,44.85
2003-09-26,3001000,44.85,44.9,44.7,44.85
2003-09-29,1128000,44.8,44.81,44.6,44.71
2003-09-30,4797000,44.71,44.9,44.61,44.7
2003-10-01,4135000,44.51,44.51,44.06,44.16
2003-10-02,6668000,44.79,45.4,44.6,45.05
2003-10-03,4895000,45.2,45.41,45.07,45.31
2003-10-06,8892000,45.7,46.34,45.7,46.25
2003-10-07,7937000,46.4,46.4,46.18,46.28
2003-10-08,1810000,46.3,46.38,45.87,46.0
2003-10-09,5914000,46.0,46.2,45.9,46.14
2003-10-13,8657000,46.4,47.19,46.4,47.19
2003-10-14,6643000,47.35,47.52,47.01,47.01
2003-10-15,5439000,47.01,47.3,46.81,47.05
2003-10-16,10708000,47.05,47.75,46.98,47.7
2003-10-17,4645000,47.8,47.87,47.51,47.79
2003-10-20,3041000,47.58,48.1,47.58,48.0
2003-10-21,3924000,48.0,48.25,47.49,47.8
2003-10-22,2416000,47.69,47.86,47.43,47.8
2003-10-23,6883000,47.3,47.38,47.03,47.1
2003-10-24,6866000,47.0,47.2,46.83,46.95
2003-10-27,1728000,46.95,47.15,46.93,47.0
2003-10-28,6265000,47.0,47.89,47.0,47.85
2003-10-29,13510000,48.5,48.6,48.0,48.0
2003-10-30,5127000,48.21,49.0,48.0,48.16
2003-10-31,23668000,48.15,48.27,47.81,48.0
2003-11-03,3215000,48.0,48.07,47.79,48.0
2003-11-04,6331000,48.25,48.55,48.0,48.0
2003-11-05,4990000,48.0,48.5,48.0,48.44
2003-11-06,4923000,48.55,48.77,47.2,47.6
2003-11-07,5698000,47.51,47.78,47.2,47.78
2003-11-10,1482000,47.6,47.78,47.49,47.51
2003-11-11,2962000,47.4,47.49,47.0,47.18
2003-11-12,2789000,47.18,47.23,47.0,47.02
2003-11-13,2636000,47.35,47.58,47.3,47.35
2003-11-14,2781000,47.5,47.55,47.25,47.55
2003-11-17,5041000,47.3,47.3,46.65,46.7
2003-11-18,6796000,46.7,46.79,46.38,46.6
2003-11-19,10670000,46.0,46.27,45.75,45.99
2003-11-20,5539000,46.19,46.19,45.6,45.6
2003-11-21,3884000,45.3,45.6,45.1,45.57
2003-11-24,1107000,45.57,45.6,45.3,45.58
2003-11-25,3287000,46.02,46.26,45.89,45.95
2003-11-26,1970000,46.19,46.19,45.93,46.0
2003-11-27,2694000,46.0,46.0,45.46,45.48
2003-11-28,4656000,46.1,46.1,45.0,45.0
2003-12-01,6751000,45.0,46.2,44.95,46.2
2003-12-02,2635000,46.26,46.27,46.0,46.15
2003-12-03,3213000,46.15,46.25,46.01,46.07
2003-12-04,3404000,46.07,46.2,45.85,46.2
2003-12-05,5251000,46.4,46.42,46.19,46.27
2003-12-08,4842000,45.78,46.3,45.61,46.3
2003-12-09,2503000,46.0,46.09,45.8,46.0
2003-12-10,5414000,46.0,46.0,45.42,45.74
2003-12-11,1478000,45.74,45.88,45.7,45.8
2003-12-12,1462000,46.79,46.79,46.0,46.1
2003-12-15,2266000,46.1,46.45,46.1,46.45
2003-12-16,7865000,46.29,46.29,46.1,46.18
2003-12-17,11143000,46.2,46.25,44.9,45.3
2003-12-18,5103000,45.4,45.4,45.2,45.4
2003-12-19,5240000,45.59,45.6,45.12,45.15
2003-12-22,3920000,45.15,45.8,45.15,45.78
2003-12-23,1645000,45.78,45.81,45.6,45.8
2003-12-24,1029000,45.8,46.15,45.7,45.9
2003-12-25,783000,45.99,46.11,45.81,45.81
2003-12-26,1869000,45.9,46.1,45.7,45.75
2003-12-29,3893000,45.75,45.82,45.3,45.42
2003-12-30,4803000,45.79,45.9,45.45,45.9
2003-12-31,3519000,46.0,46.08,45.9,45.92
2004-01-02,16325000,46.14,47.3,45.92,47.3
2004-01-05,10376000,47.3,47.84,47.3,47.8
2004-01-06,7741000,48.0,48.1,47.7,47.8
2004-01-07,6398000,47.95,48.44,47.8,47.8
2004-01-08,3477000,47.9,48.18,47.8,48.08
2004-01-09,7688000,48.4,48.74,48.38,48.41
2004-01-12,6977000,48.41,48.59,48.3,48.53
2004-01-13,5508000,48.7,48.7,48.21,48.48
2004-01-14,7776000,48.3,49.11,48.23,48.95
2004-01-15,3971000,49.0,49.0,48.72,48.94
2004-01-16,5598000,49.0,49.19,48.8,48.9
2004-01-27,6713000,49.5,49.51,49.1,49.11
2004-01-28,16573000,49.1,49.2,48.91,49.03
2004-01-29,11158000,48.9,48.9,48.46,48.6
2004-01-30,4238000,48.6,48.62,48.5,48.52
2004-02-02,5168000,48.53,48.56,48.01,48.3
2004-02-03,7358000,47.99,47.99,47.32,47.66
2004-02-04,4757000,47.5,47.59,47.35,47.45
2004-02-05,3139000,47.3,47.68,47.2,47.45
2004-02-06,5801000,47.5,47.98,47.5,47.91
2004-02-09,4237000,48.0,48.6,48.0,48.5
2004-02-10,7665000,48.7,48.7,48.25,48.54
2004-02-11,5264000,48.5,48.5,48.26,48.37
2004-02-12,8114000,48.5,49.26,48.4,48.59
2004-02-13,6138000,48.61,49.47,48.6,49.46
2004-02-16,4154000,49.46,49.46,49.04,49.2
2004-02-17,4645000,49.21,49.5,49.16,49.5
2004-02-18,4018000,49.55,49.7,49.32,49.53
2004-02-19,6123000,49.57,50.1,49.57,50.0
2004-02-20,1270000,50.0,50.05,49.7,50.0
2004-02-23,2001000,49.95,50.0,49.5,49.56
2004-02-24,3957000,49.2,49.62,49.16,49.45
2004-02-25,3115000,49.4,49.62,49.36,49.6
2004-02-26,6234000,49.75,50.05,49.7,49.8
2004-02-27,9139000,50.0,50.6,50.0,50.55
2004-03-01,7495000,50.8,52.0,50.8,51.95
2004-03-02,13953000,52.1,52.9,52.1,52.8
2004-03-03,19671000,52.8,52.95,52.5,52.7
2004-03-04,16061000,53.0,53.15,52.55,53.15
2004-03-05,22078000,53.5,53.7,52.5,52.5
2004-03-08,3510000,52.6,52.9,51.75,51.85
2004-03-09,6131000,51.6,52.0,51.45,52.0
2004-03-10,10911000,51.95,52.1,51.2,51.35
2004-03-11,19280000,50.95,51.45,50.75,51.4
2004-03-12,17917000,50.8,50.8,50.3,50.45
2004-03-15,15682000,51.0,51.0,49.65,49.65
2004-03-16,18336000,49.32,49.38,48.8,49.0
2004-03-17,4684000,49.7,49.7,49.0,49.08
2004-03-18,9242000,49.7,50.8,49.5,50.7
2004-03-19,6632000,50.7,51.1,50.4,51.0
2004-03-22,4226000,47.43,47.43,47.43,47.43
2004-03-23,25916000,44.5,47.17,44.5,46.4
2004-03-24,10120000,47.3,47.3,46.45,46.95
2004-03-25,5991000,46.95,47.25,46.75,46.8
2004-03-26,7696000,47.24,47.3,46.7,46.79
2004-03-29,4404000,48.7,49.1,48.28,49.1
2004-03-30,8016000,49.1,49.54,48.8,49.3
2004-03-31,8563000,49.5,49.5,48.98,48.99
2004-04-01,4722000,49.3,49.3,48.4,48.7
2004-04-02,1968000,49.0,49.2,48.9,48.91
2004-04-05,5805000,49.5,50.5,49.19,50.0
2004-04-06,3052000,50.2,50.45,49.9,49.92
2004-04-07,797000,49.93,49.98,49.8,49.87
2004-04-08,3677000,49.9,50.1,49.9,50.1
2004-04-09,1493000,49.9,49.9,49.6,49.8
2004-04-12,8506000,50.05,51.05,50.05,50.95
2004-04-13,4769000,50.95,51.1,50.7,50.85
2004-04-14,7859000,50.35,51.4,50.35,51.4
2004-04-15,13174000,51.4,51.6,50.35,50.4
2004-04-16,12879000,50.4,51.35,50.35,51.15
2004-04-19,5415000,51.2,51.3,50.85,50.9
2004-04-20,8261000,51.5,51.5,50.9,50.9
2004-04-21,5493000,50.8,51.35,50.8,51.25
2004-04-22,11949000,51.4,52.2,50.3,50.5
2004-04-23,6594000,50.7,51.15,50.7,50.8
2004-04-26,2449000,50.8,51.15,50.8,50.9
2004-04-27,2429000,50.9,50.9,50.1,50.4
2004-04-28,3648000,50.4,50.55,49.8,49.95
2004-04-29,6398000,49.58,49.7,48.38,48.69
2004-04-30,31243000,48.35,48.5,45.8,47.5
2004-05-03,13192000,47.1,47.1,45.9,45.95
2004-05-04,5530000,46.3,47.0,46.06,47.0
2004-05-05,7810000,47.1,47.1,44.7,44.7
2004-05-06,6536000,45.5,45.7,44.65,45.3
2004-05-07,5232000,45.0,45.9,45.0,45.75
2004-05-10,6852000,45.15,45.15,44.4,44.6
2004-05-11,6260000,44.6,45.1,43.7,44.72
2004-05-12,2610000,45.37,45.75,45.2,45.5
2004-05-13,2392000,45.3,45.35,44.8,45.0
2004-05-14,3577000,45.3,45.42,44.1,44.1
2004-05-17,17932000,43.51,43.51,41.02,41.02
2004-05-18,8184000,41.1,42.55,41.1,41.7
2004-05-19,10694000,43.4,44.61,42.7,44.61
2004-05-20,13113000,44.2,45.35,43.85,44.5
2004-05-21,6032000,44.5,45.59,44.11,45.21
2004-05-24,3770000,45.0,45.69,44.5,45.12
2004-05-25,4675000,45.0,45.6,44.65,44.95
2004-05-26,6749000,46.49,46.49,45.77,45.95
2004-05-27,2306000,46.0,46.1,45.76,45.95
2004-05-28,1952000,46.15,46.3,46.1,46.3
2004-05-31,3244000,46.3,46.31,45.3,45.35
2004-06-01,2645000,45.2,45.35,44.81,45.2
2004-06-02,2939000,44.8,44.9,44.62,44.69
2004-06-03,8926000,44.8,45.15,43.6,43.64
2004-06-04,6959000,43.5,43.64,42.8,43.02
2004-06-07,3170000,44.0,45.25,44.0,45.2
2004-06-08,3440000,45.9,46.0,45.2,45.6
2004-06-09,1643000,45.6,45.6,45.31,45.39
2004-06-10,6412000,45.1,45.15,44.4,44.95
2004-06-11,9946000,44.5,44.5,43.4,43.44
2004-06-14,7725000,43.44,43.82,42.1,42.2
2004-06-15,6911000,42.2,43.0,41.81,43.0
2004-06-16,4653000,43.5,43.5,42.1,42.35
2004-06-17,5538000,42.35,43.8,42.35,43.29
2004-06-18,6298000,43.29,43.29,42.47,42.6
2004-06-21,2726000,43.7,43.7,42.52,42.52
2004-06-23,4548000,42.91,44.3,42.91,43.9
2004-06-24,4634000,44.02,44.5,43.9,44.36
2004-06-25,4994000,44.3,44.7,43.95,44.4
2004-06-28,3631000,44.4,44.5,43.51,43.72
2004-06-29,4828000,43.52,43.83,43.29,43.8
2004-06-30,5444000,44.1,44.85,44.1,44.75
2004-07-01,3948000,44.9,45.05,44.65,44.91
2004-07-02,3227000,43.96,44.2,43.9,43.92
2004-07-05,4476000,43.6,43.68,43.28,43.4
2004-07-06,4522000,43.4,43.8,43.35,43.8
2004-07-07,2471000,43.3,43.99,43.22,43.9
2004-07-08,3545000,43.9,44.2,43.76,43.82
2004-07-09,4329000,43.85,44.4,43.71,44.35
2004-07-12,3406000,44.49,44.52,44.04,44.04
2004-07-13,1739000,43.9,43.98,43.7,43.7
2004-07-14,3800000,43.75,43.85,43.32,43.32
2004-07-15,9665000,43.3,43.3,42.4,42.6
2004-07-16,3536000,42.41,42.73,42.35,42.38
2004-07-19,6277000,42.3,42.56,41.95,42.37
2004-07-20,8764000,42.36,42.36,41.2,41.2
2004-07-21,6458000,42.0,42.18,41.65,41.99
2004-07-22,5014000,41.5,41.8,41.12,41.6
2004-07-23,4087000,41.6,42.15,41.5,41.58
2004-07-26,4621000,41.2,41.24,41.0,41.2
2004-07-27,6242000,41.19,42.0,40.9,41.86
2004-07-28,4877000,42.2,42.2,41.55,41.74
2004-07-29,2526000,41.61,41.72,41.38,41.38
2004-07-30,4483000,41.7,42.1,41.7,41.91
2004-08-02,4250000,41.69,41.8,41.5,41.65
2004-08-03,2572000,41.75,41.85,41.5,41.67
2004-08-04,3277000,41.5,41.6,41.3,41.3
2004-08-05,5663000,41.5,42.8,41.18,42.8
2004-08-06,7607000,42.4,42.79,42.11,42.27
2004-08-09,3624000,41.85,42.24,41.69,42.24
2004-08-10,2919000,42.2,42.24,42.02,42.02
2004-08-11,3276000,42.3,42.32,41.77,41.77
2004-08-12,1448000,41.82,41.89,41.6,41.78
2004-08-13,2113000,41.71,42.08,41.5,41.82
2004-08-16,2061000,41.82,41.89,41.65,41.65
2004-08-17,3021000,41.9,41.9,41.7,41.73
2004-08-18,6605000,41.74,42.88,41.73,42.74
2004-08-19,9208000,43.0,44.22,43.0,44.2
2004-08-20,5553000,44.2,44.49,44.03,44.2
2004-08-23,5633000,44.31,44.59,44.19,44.45
2004-08-26,8794000,45.0,46.0,45.0,45.95
2004-08-27,5288000,45.86,45.95,45.52,45.6
2004-08-30,4480000,45.6,45.7,45.36,45.59
2004-08-31,8130000,45.4,45.95,45.03,45.15
2004-09-01,5891000,45.3,45.85,45.3,45.8
2004-09-02,2231000,45.8,45.84,45.51,45.62
2004-09-03,4700000,45.6,45.74,44.8,44.84
2004-09-06,5569000,44.7,44.95,44.46,44.93
2004-09-07,3627000,44.93,45.5,44.93,45.5
2004-09-08,4244000,45.51,45.75,45.32,45.47
2004-09-09,3800000,45.41,45.47,45.2,45.4
2004-09-10,4468000,45.49,45.75,45.3,45.45
2004-09-13,12497000,46.01,46.31,46.0,46.3
2004-09-14,8103000,46.31,46.58,46.15,46.3
2004-09-15,7410000,46.15,46.19,45.6,45.76
2004-09-16,6356000,45.5,45.8,45.4,45.76
2004-09-17,4935000,45.77,45.8,45.15,45.4
2004-09-20,7416000,45.43,45.84,45.4,45.6
2004-09-21,14017000,46.82,46.82,46.0,46.21
2004-09-22,10730000,46.32,46.43,46.15,46.33
2004-09-23,3242000,46.0,46.2,45.93,46.2
2004-09-24,3346000,46.08,46.2,45.4,45.4
2004-09-27,1312000,45.4,45.5,45.2,45.4
2004-09-29,2958000,45.3,45.56,45.3,45.39
2004-09-30,5675000,45.7,45.89,45.45,45.6
2004-10-01,6967000,45.71,46.3,45.65,46.3
2004-10-04,21132000,47.05,47.35,46.92,47.26
2004-10-05,9362000,47.31,47.55,47.27,47.49
2004-10-06,10442000,47.42,47.76,47.13,47.3
2004-10-07,8950000,47.43,47.73,47.39,47.5
2004-10-08,5198000,47.4,47.55,47.27,47.5
2004-10-11,4890000,47.03,47.2,46.9,47.15
2004-10-12,3444000,46.9,46.99,46.28,46.28
2004-10-13,4133000,46.28,46.34,46.15,46.15
2004-10-14,8848000,45.54,45.75,45.03,45.16
2004-10-15,8455000,45.5,45.5,44.94,45.08
2004-10-18,1397000,45.2,45.23,44.95,45.04
2004-10-19,3078000,45.13,45.38,45.07,45.37
2004-10-20,5549000,45.1,45.18,44.9,45.1
2004-10-21,4170000,45.05,45.35,44.9,45.17
2004-10-22,2345000,45.19,45.32,45.15,45.2
2004-10-26,5597000,44.58,44.58,44.2,44.22
2004-10-27,6037000,44.22,44.25,43.81,44.15
2004-10-28,4275000,44.5,44.85,44.39,44.85
2004-10-29,1279000,44.6,44.79,44.51,44.72
2004-11-01,1630000,44.75,44.84,44.16,44.29
2004-11-02,2759000,44.31,45.21,44.31,45.2
2004-11-03,9666000,45.2,46.05,45.2,46.02
2004-11-04,10320000,46.0,46.45,45.85,46.2
2004-11-05,14989000,47.0,47.2,46.56,46.93
2004-11-08,6190000,46.92,46.93,46.62,46.81
2004-11-09,7071000,46.85,46.86,46.5,46.81
2004-11-10,11687000,47.0,47.05,46.59,46.85
2004-11-11,6506000,46.85,46.85,46.0,46.0
2004-11-12,10154000,46.23,46.93,46.23,46.51
2004-11-15,10648000,46.97,47.05,46.6,46.6
2004-11-16,10298000,46.6,46.95,46.6,46.78
2004-11-17,26781000,46.8,47.69,46.79,47.6
2004-11-18,17522000,47.7,47.96,47.6,47.6
2004-11-19,9392000,47.65,47.8,47.4,47.4
2004-11-22,8088000,46.8,46.96,45.75,45.75
2004-11-23,4066000,45.8,45.98,45.3,45.8
2004-11-24,5439000,45.88,46.35,45.88,46.35
2004-11-25,1774000,46.35,46.35,45.9,46.03
2004-11-26,6247000,46.2,46.5,45.46,45.46
2004-11-29,4770000,45.45,45.6,45.25,45.55
2004-11-30,12616000,45.32,45.7,44.88,45.5
2004-12-01,11673000,45.41,45.95,45.21,45.63
2004-12-02,8488000,45.84,46.07,45.8,46.06
2004-12-03,2628000,46.23,46.4,46.06,46.4
2004-12-06,2282000,46.23,46.6,46.16,46.6
2004-12-07,3160000,46.6,46.67,46.4,46.64
2004-12-08,2216000,46.56,46.56,46.42,46.5
2004-12-09,3796000,46.7,46.7,46.45,46.5
2004-12-10,5224000,46.5,46.55,46.35,46.43
2004-12-13,10868000,46.6,47.19,45.8,46.0
2004-12-14,2300000,46.3,46.32,46.12,46.23
2004-12-15,13490000,46.53,47.2,46.45,47.15
2004-12-16,8268000,47.16,47.3,47.05,47.3
2004-12-17,13153000,47.23,47.3,47.11,47.18
2004-12-20,6789000,46.2,46.9,46.2,46.52
2004-12-21,1774000,46.81,46.99,46.76,46.99
2004-12-22,7872000,47.06,47.4,47.01,47.2
2004-12-23,1066000,47.2,47.2,46.85,46.96
2004-12-24,3315000,46.96,47.37,46.96,47.25
2004-12-27,5952000,47.25,47.25,46.98,47.02
2004-12-28,5113000,47.01,47.2,47.0,47.2
2004-12-29,14060000,47.53,48.0,47.5,47.98
2004-12-30,8219000,48.01,48.1,47.9,48.07
